ID;Imie;Nazwisko;Wiek;W zwi¹zku;Email;P³eæ
1;Jolanta;Szyszkiewicz;24;PRAWDA;szyszjola@wp.pl;K
2;Micha³;Serafin;25;PRAWDA;michal@gmial.com;M
4;Sheldon;Cooper;29;PRAWDA;cooper@gmial.com;M
5;Eustachy;Modliszka;88;PRAWDA;eustachy@heheszki.com;M
6;Izabella;Swan;24;FA£SZ;iza@wp.pl;K
8;Janusz;Samotny;40;FA£SZ;poznampania@wp.pl;M
9;Alicja;Dr¹gal;51;FA£SZ;dragala@gmial.com;K
10;Piotrek;Pietruszka;4;FA£SZ;pietro@gmial.com;M
11;Bartosz;Kot;28;PRAWDA;bartek@wp.pl;K
12;Edyta;Porêba;35;PRAWDA;porobalo@gmial.com;K
13;Jadwiga;Go³¹b;6;FA£SZ;golebo@wp.pl;K
14;Rysio;Zklanu;16;FA£SZ;rysiooo@gg.com;M
15;Grzegorz;£askotek;35;PRAWDA;laskotki@wp.pl;M
16;Kamil;Ma³pa;43;FA£SZ;Kamil.Ma³pa241@gmail.com;M
17;Daniel;G³¹mb;62;PRAWDA;Daniel.G³¹mb484@iteger.pl;M
18;Wies³aw;Kote³;42;FA£SZ;Wies³aw.Kote³978@onet.pl;M
19;Jolanta;Koczilla;22;FA£SZ;Jolanta.Koczilla475@onet.pl;K
20;Tomasz;Psikuta;2;FA£SZ;Tomasz.Psikuta969@wp.pl;M
21;Bogus³awa;Sykieiwcz;80;FA£SZ;Bogus³awa.Sykieiwcz466@gmail.com;K
22;Tadeusz;Brysiak;60;PRAWDA;Tadeusz.Brysiak961@iteger.pl;M
23;Ala;Wronko;40;PRAWDA;Ala.Wronko457@onet.pl;K
24;Bartek;Ma³pa;20;PRAWDA;Bartek.Ma³pa952@onet.pl;M
25;Tomasz;Bombka;68;PRAWDA;Tomasz.Bombka322@iteger.pl;M
26;Kamil;Piese³;19;PRAWDA;Kamil.Piese³691@gmail.com;M
27;Pawe³;Konieczko;97;PRAWDA;Pawe³.Konieczko188@iteger.pl;M
28;Ma³gorzata;D³uto;77;FA£SZ;Ma³gorzata.D³uto682@onet.pl;K
29;Wies³aw;Bombka;57;FA£SZ;Wies³aw.Bombka179@wp.pl;M
30;Krzysztof;Grzygiewicz;37;FA£SZ;Krzysztof.Grzygiewicz674@wp.pl;M
31;Micha³;G³¹mb;17;PRAWDA;Micha³.G³¹mb170@gmail.com;M
32;Wies³aw;Kote³;95;PRAWDA;Wies³aw.Kote³665@iteger.pl;M
34;Wies³aw;Grzygiewicz;25;PRAWDA;Wies³aw.Grzygiewicz530@iteger.pl;M
35;Jolanta;G³¹mb;5;PRAWDA;Jolanta.G³¹mb27@iteger.pl;K
36;Tomasz;Kote³;83;FA£SZ;Tomasz.Kote³521@onet.pl;M
37;Bogus³awa;Koczilla;63;FA£SZ;Bogus³awa.Koczilla18@wp.pl;K
38;Tadeusz;Psikuta;43;FA£SZ;Tadeusz.Psikuta513@gmail.com;M
39;Ala;Sykieiwcz;23;FA£SZ;Ala.Sykieiwcz9@iteger.pl;K
40;Bartek;Brysiak;3;PRAWDA;Bartek.Brysiak504@iteger.pl;M
41;D¿ej D¿ej;Wronko;81;PRAWDA;D¿ejD¿ej.Wronko998@onet.pl;M
42;Urszula;Ma³pa;61;PRAWDA;Urszula.Ma³pa495@wp.pl;K
43;Przemys³aw;Plugiewicz;41;FA£SZ;Przemys³aw.Plugiewicz990@gmail.com;M
44;Daniel;Zawada;21;FA£SZ;Daniel.Zawada486@gmail.com;M
45;Andrzej;Budko;1;FA£SZ;Andrzej.Budko981@iteger.pl;M
46;Jolanta;Jastrz¹b;79;PRAWDA;Jolanta.Jastrz¹b477@onet.pl;K
47;Tomasz;Baran;59;PRAWDA;Tomasz.Baran972@wp.pl;M
48;Anna;Brzoza;39;PRAWDA;Anna.Brzoza469@gmail.com;K
49;Tadeusz;Sêp;19;PRAWDA;Tadeusz.Sêp963@gmail.com;M
50;Agata;Zawieja;97;FA£SZ;Agata.Zawieja460@iteger.pl;K
51;Bartek;Lulewicz;77;FA£SZ;Bartek.Lulewicz954@onet.pl;M
52;Jakub;Kotkiewicz;57;FA£SZ;Jakub.Kotkiewicz451@wp.pl;M
53;Urszula;Koza;37;PRAWDA;Urszula.Koza946@wp.pl;K
54;Przemys³aw;Radowicz;17;PRAWDA;Przemys³aw.Radowicz442@gmail.com;M
55;Pawe³;Cygan;95;PRAWDA;Pawe³.Cygan937@iteger.pl;M
